AssetID,Desc,DeprYTD,cCode,eCode,ceCode,odooAssetAcctNo,odooExpAcctNo
400,Moravia - electrical work welding area,0.0,3,1,3000,15300,50110
401,Moravia - electrical work tube bending area,0.0,3,1,3000,15300,50110
402,Crane for Weld Station,0.0,3,1,3000,15300,50110
404,Tube Bending Machine Computer Board,0.0,3,1,3000,15300,50110
406,Hoist for Mfg Crane,0.0,3,1,3000,15300,50110
407,Jib Crane,0.0,3,1,3000,15300,50110
408,Instapak Machine - New Butler Road,0.0,3,1,3000,15300,50110
409,CNC Electrical Wiring,0.0,3,1,3000,15300,50110
410,CNC Milll Magnets x2,0.0,3,1,3000,15300,50110
411,"Wiring of New Lines - CNC Mill #1, Tube Bender & other Machines - Moravia",0.0,3,1,3000,15300,50110
412,New CNC MILL #2,0.0,3,1,3000,15300,50110
413,40 BLACK BINS,0.0,3,1,3000,15300,50110
414,LATHE - OKUMA GENOS L300,0.0,3,1,3000,15300,50110
415,CNC LATHE Transformer,0.0,3,1,3000,15300,50110
418,"Wiring of CNC Lathe & new CNC Mill #2, & Adjusted Light Assembly Area",0.0,3,1,3000,15300,50110
419,2 60 inch TV's Dave & Carla - New Butler,0.0,6,900,6000,15600,61900
421,CNC Lathe - Short Bar Feeder,0.0,3,1,3000,15300,50110
424,Used CNC Machine - Trade Mold Tank 5,0.0,3,1,3000,15300,50110
426,Bluco Fixture Table for Deutz,326.47,3,112,3112,15303,50112
427,"Tube Bender, Expander reducer machine",61.36,3,113,3113,15304,50113
428,H&H Press Head Spot Welder,0.01,3,112,3112,15303,50112
431,Color Printer,0.0,5,906,5000,15500,70600
432,Computer Pete Rossin -  Apple Ipad,0.0,5,906,5000,15500,70600
433,"DJR's 18"" Tablet",0.0,5,906,5000,15500,70600
434,Jim Richardson Lakehouse Computer,0.0,5,906,5000,15500,70600
435,Software upgrade for Lathe,0.0,5,906,5000,15500,70700
436,Dock Repairs - Moravia,0.0,2,0,2000,15200,61900
437,DJR Computer - Moravia,0.0,5,906,5000,15500,70600
438,Large Chiller-Spot Welder,34.29,3,112,3112,15303,50112
439,TIG Welder,0.0,3,1,3000,15300,50110
440,Thermal Cycle Testing Imaging Camera,23.87,3,949,3949,15323,75100
441,Chiller-Thermal Cycle Tester,240.53,3,949,3949,15323,75100
442,DJR Computer New Butler,0.0,5,906,5000,15500,70600
443,Computer Server Switch,0.0,5,906,5000,15500,70600
445,Computer Firewall,0.0,5,906,5000,15500,70700
448,40 Black Bins,264.3,3,980,3980,15317,79900
449,Gray Warehouse Reacking - New Butler,287.42,3,280,3280,15312,79280
451,CAC Pipe Racking,0.0,3,0,3000,15300,61900
452,Racking - New Butler,222.89,3,280,3280,15312,79280
453,Floor Scale - New Butler,388.72,3,280,3280,15312,79280
454,50 Black Bins,1101.18,3,980,3980,15317,79900
455,TIG Welder - Moravia,0.0,3,0,3000,15300,61900
456,TIG Welder - New Butler,0.0,3,1,3000,15300,50110
457,Robotic Welder #2,15158.11,3,321,3321,15306,50321
458,Robotic Welder #3,15158.11,3,321,3321,15306,50321
459,Conveyor for Trumpf Punch,306.19,3,111,3111,15302,50111
460,OKUMA 3000 Lathe,10833.32,3,321,3321,15306,50321
461,Fixture for New Robotic Welder,2263.91,3,321,3321,15306,50321
463,TruBend 7036,13916.11,3,112,3112,15303,50112
464,Tube Bender,4337.45,3,113,3113,15304,50113
474,Current Monitor & Pressure Transducer - Weld Nut Machine,21.99,3,112,3112,15303,50112
475,6 New Wifi Devices,0.0,5,906,5000,15500,70600
476,DJR Tablet,0.0,5,906,5000,15500,70600
477,3 Network Switches - System Overhaul,0.0,5,906,5000,15500,70600
478,Pyer Tablet,0.0,5,906,5000,15500,70600
479,Leased Furniture for Florida Guest House,1407.49,6,900,6900,15607,71500
480,Leased Furniture for Florida Guest House,1651.93,6,900,6900,15607,71500
481,Compressor at Moravia,1929.44,3,110,3110,15301,50110
486,2 Dot Hill Server Controllers housed at RCP,0.0,5,906,5000,15500,70600
491,DJR Computer - Dell Venue 11 Pro,22.99,5,906,5906,15501,75206
492,3 Computer Servers - Upgrades,335.68,5,906,5906,15501,75206
494,CRM Software,0.0,5,906,5000,15500,70700
496,Computer - Edney,95.95,5,906,5906,15501,75206
497,Windchill upgrade server software,0.0,5,906,5000,15500,70700
505,Surface Pro Computer,403.24,5,906,5906,15501,75206
517,Sophos Cloud Email Protection,0.0,5,906,5000,15500,70700
518,Windchill CREO Tool Design Software,0.0,5,906,5000,15500,70700
